"Component Id",value,time,"Component Name"
16,23,"2013-06-29 18:00:00","Self Power Production"
13,9,"2013-06-29 18:00:00","Light Power Consumption"
15,7,"2013-06-29 18:00:00","Appliance Power Consumption"
5,24,"2013-06-29 18:00:00","bed room temp"
14,250,"2013-06-29 18:00:00","AC Power Consumption"
6,24,"2013-06-29 18:00:00","Salon temp"
15,7,"2013-06-29 18:20:00","Appliance Power Consumption"
5,24,"2013-06-29 18:20:00","bed room temp"
14,250,"2013-06-29 18:20:00","AC Power Consumption"
6,24,"2013-06-29 18:20:00","Salon temp"
16,20,"2013-06-29 18:20:00","Self Power Production"
13,9,"2013-06-29 18:20:00","Light Power Consumption"
16,17,"2013-06-29 18:40:00","Self Power Production"
13,0,"2013-06-29 18:40:00","Light Power Consumption"
15,6,"2013-06-29 18:40:00","Appliance Power Consumption"
5,24,"2013-06-29 18:40:00","bed room temp"
14,250,"2013-06-29 18:40:00","AC Power Consumption"
6,24,"2013-06-29 18:40:00","Salon temp"
14,250,"2013-06-29 19:00:00","AC Power Consumption"
6,24,"2013-06-29 19:00:00","Salon temp"
16,14,"2013-06-29 19:00:00","Self Power Production"
13,0,"2013-06-29 19:00:00","Light Power Consumption"
15,7,"2013-06-29 19:00:00","Appliance Power Consumption"
5,24,"2013-06-29 19:00:00","bed room temp"
13,9,"2013-06-29 19:20:00","Light Power Consumption"
15,8,"2013-06-29 19:20:00","Appliance Power Consumption"
5,24,"2013-06-29 19:20:00","bed room temp"
14,250,"2013-06-29 19:20:00","AC Power Consumption"
6,24,"2013-06-29 19:20:00","Salon temp"
16,11,"2013-06-29 19:20:00","Self Power Production"
16,8,"2013-06-29 19:40:00","Self Power Production"
13,9,"2013-06-29 19:40:00","Light Power Consumption"
15,7,"2013-06-29 19:40:00","Appliance Power Consumption"
5,24,"2013-06-29 19:40:00","bed room temp"
14,220,"2013-06-29 19:40:00","AC Power Consumption"
6,24,"2013-06-29 19:40:00","Salon temp"
15,8,"2013-06-29 20:00:00","Appliance Power Consumption"
5,24,"2013-06-29 20:00:00","bed room temp"
14,220,"2013-06-29 20:00:00","AC Power Consumption"
6,24,"2013-06-29 20:00:00","Salon temp"
16,0,"2013-06-29 20:00:00","Self Power Production"
13,27,"2013-06-29 20:00:00","Light Power Consumption"
16,0,"2013-06-29 20:20:00","Self Power Production"
13,27,"2013-06-29 20:20:00","Light Power Consumption"
15,8,"2013-06-29 20:20:00","Appliance Power Consumption"
5,24,"2013-06-29 20:20:00","bed room temp"
14,210,"2013-06-29 20:20:00","AC Power Consumption"
6,24,"2013-06-29 20:20:00","Salon temp"
14,200,"2013-06-29 20:40:00","AC Power Consumption"
6,24,"2013-06-29 20:40:00","Salon temp"
16,0,"2013-06-29 20:40:00","Self Power Production"
13,27,"2013-06-29 20:40:00","Light Power Consumption"
15,4,"2013-06-29 20:40:00","Appliance Power Consumption"
5,24,"2013-06-29 20:40:00","bed room temp"
13,27,"2013-06-29 21:00:00","Light Power Consumption"
15,5,"2013-06-29 21:00:00","Appliance Power Consumption"
5,24,"2013-06-29 21:00:00","bed room temp"
14,180,"2013-06-29 21:00:00","AC Power Consumption"
6,24,"2013-06-29 21:00:00","Salon temp"
16,0,"2013-06-29 21:00:00","Self Power Production"
6,24,"2013-06-29 21:20:00","Salon temp"
16,0,"2013-06-29 21:20:00","Self Power Production"
13,27,"2013-06-29 21:20:00","Light Power Consumption"
15,4,"2013-06-29 21:20:00","Appliance Power Consumption"
5,24,"2013-06-29 21:20:00","bed room temp"
14,160,"2013-06-29 21:20:00","AC Power Consumption"
15,4,"2013-06-29 21:40:00","Appliance Power Consumption"
5,24,"2013-06-29 21:40:00","bed room temp"
14,140,"2013-06-29 21:40:00","AC Power Consumption"
6,24,"2013-06-29 21:40:00","Salon temp"
16,0,"2013-06-29 21:40:00","Self Power Production"
13,18,"2013-06-29 21:40:00","Light Power Consumption"
16,0,"2013-06-29 22:00:00","Self Power Production"
13,18,"2013-06-29 22:00:00","Light Power Consumption"
15,4,"2013-06-29 22:00:00","Appliance Power Consumption"
5,25,"2013-06-29 22:00:00","bed room temp"
14,110,"2013-06-29 22:00:00","AC Power Consumption"
6,25,"2013-06-29 22:00:00","Salon temp"
5,25,"2013-06-29 22:20:00","bed room temp"
14,0,"2013-06-29 22:20:00","AC Power Consumption"
6,25,"2013-06-29 22:20:00","Salon temp"
16,0,"2013-06-29 22:20:00","Self Power Production"
13,18,"2013-06-29 22:20:00","Light Power Consumption"
15,4,"2013-06-29 22:20:00","Appliance Power Consumption"
13,18,"2013-06-29 22:40:00","Light Power Consumption"
15,4,"2013-06-29 22:40:00","Appliance Power Consumption"
5,25,"2013-06-29 22:40:00","bed room temp"
14,0,"2013-06-29 22:40:00","AC Power Consumption"
6,25,"2013-06-29 22:40:00","Salon temp"
16,0,"2013-06-29 22:40:00","Self Power Production"
6,25,"2013-06-29 23:00:00","Salon temp"
16,0,"2013-06-29 23:00:00","Self Power Production"
13,9,"2013-06-29 23:00:00","Light Power Consumption"
15,4,"2013-06-29 23:00:00","Appliance Power Consumption"
5,25,"2013-06-29 23:00:00","bed room temp"
14,0,"2013-06-29 23:00:00","AC Power Consumption"
15,4,"2013-06-29 23:20:00","Appliance Power Consumption"
5,25,"2013-06-29 23:20:00","bed room temp"
14,0,"2013-06-29 23:20:00","AC Power Consumption"
6,25,"2013-06-29 23:20:00","Salon temp"
16,0,"2013-06-29 23:20:00","Self Power Production"
13,9,"2013-06-29 23:20:00","Light Power Consumption"
16,0,"2013-06-29 23:40:00","Self Power Production"
13,9,"2013-06-29 23:40:00","Light Power Consumption"
15,4,"2013-06-29 23:40:00","Appliance Power Consumption"
5,24,"2013-06-29 23:40:00","bed room temp"
14,0,"2013-06-29 23:40:00","AC Power Consumption"
6,24,"2013-06-29 23:40:00","Salon temp"
5,24,"2013-06-30 00:00:00","bed room temp"
14,0,"2013-06-30 00:00:00","AC Power Consumption"
6,24,"2013-06-30 00:00:00","Salon temp"
16,0,"2013-06-30 00:00:00","Self Power Production"
13,9,"2013-06-30 00:00:00","Light Power Consumption"
15,4,"2013-06-30 00:00:00","Appliance Power Consumption"
13,0,"2013-06-30 00:20:00","Light Power Consumption"
15,4,"2013-06-30 00:20:00","Appliance Power Consumption"
5,24,"2013-06-30 00:20:00","bed room temp"
14,0,"2013-06-30 00:20:00","AC Power Consumption"
6,24,"2013-06-30 00:20:00","Salon temp"
16,0,"2013-06-30 00:20:00","Self Power Production"
14,0,"2013-06-30 00:40:00","AC Power Consumption"
6,24,"2013-06-30 00:40:00","Salon temp"
16,0,"2013-06-30 00:40:00","Self Power Production"
13,0,"2013-06-30 00:40:00","Light Power Consumption"
15,4,"2013-06-30 00:40:00","Appliance Power Consumption"
5,24,"2013-06-30 00:40:00","bed room temp"
15,4,"2013-06-30 01:00:00","Appliance Power Consumption"
5,24,"2013-06-30 01:00:00","bed room temp"
14,0,"2013-06-30 01:00:00","AC Power Consumption"
6,24,"2013-06-30 01:00:00","Salon temp"
16,0,"2013-06-30 01:00:00","Self Power Production"
13,0,"2013-06-30 01:00:00","Light Power Consumption"
16,0,"2013-06-30 01:20:00","Self Power Production"
13,0,"2013-06-30 01:20:00","Light Power Consumption"
15,4,"2013-06-30 01:20:00","Appliance Power Consumption"
5,24,"2013-06-30 01:20:00","bed room temp"
14,0,"2013-06-30 01:20:00","AC Power Consumption"
6,24,"2013-06-30 01:20:00","Salon temp"
15,4,"2013-06-30 01:40:00","Appliance Power Consumption"
5,24,"2013-06-30 01:40:00","bed room temp"
14,0,"2013-06-30 01:40:00","AC Power Consumption"
6,24,"2013-06-30 01:40:00","Salon temp"
16,0,"2013-06-30 01:40:00","Self Power Production"
13,0,"2013-06-30 01:40:00","Light Power Consumption"
13,0,"2013-06-30 02:00:00","Light Power Consumption"
15,4,"2013-06-30 02:00:00","Appliance Power Consumption"
5,23,"2013-06-30 02:00:00","bed room temp"
14,0,"2013-06-30 02:00:00","AC Power Consumption"
6,23,"2013-06-30 02:00:00","Salon temp"
16,0,"2013-06-30 02:00:00","Self Power Production"
14,0,"2013-06-30 02:20:00","AC Power Consumption"
6,23,"2013-06-30 02:20:00","Salon temp"
16,0,"2013-06-30 02:20:00","Self Power Production"
13,0,"2013-06-30 02:20:00","Light Power Consumption"
15,4,"2013-06-30 02:20:00","Appliance Power Consumption"
5,23,"2013-06-30 02:20:00","bed room temp"
15,4,"2013-06-30 02:40:00","Appliance Power Consumption"
5,23,"2013-06-30 02:40:00","bed room temp"
14,0,"2013-06-30 02:40:00","AC Power Consumption"
6,23,"2013-06-30 02:40:00","Salon temp"
16,0,"2013-06-30 02:40:00","Self Power Production"
13,0,"2013-06-30 02:40:00","Light Power Consumption"
16,0,"2013-06-30 03:00:00","Self Power Production"
13,0,"2013-06-30 03:00:00","Light Power Consumption"
15,4,"2013-06-30 03:00:00","Appliance Power Consumption"
5,23,"2013-06-30 03:00:00","bed room temp"
14,0,"2013-06-30 03:00:00","AC Power Consumption"
6,23,"2013-06-30 03:00:00","Salon temp"
15,4,"2013-06-30 03:20:00","Appliance Power Consumption"
5,22,"2013-06-30 03:20:00","bed room temp"
14,0,"2013-06-30 03:20:00","AC Power Consumption"
6,22,"2013-06-30 03:20:00","Salon temp"
16,0,"2013-06-30 03:20:00","Self Power Production"
13,0,"2013-06-30 03:20:00","Light Power Consumption"
13,0,"2013-06-30 03:40:00","Light Power Consumption"
15,4,"2013-06-30 03:40:00","Appliance Power Consumption"
5,23,"2013-06-30 03:40:00","bed room temp"
14,0,"2013-06-30 03:40:00","AC Power Consumption"
6,23,"2013-06-30 03:40:00","Salon temp"
16,0,"2013-06-30 03:40:00","Self Power Production"
14,0,"2013-06-30 04:00:00","AC Power Consumption"
6,23,"2013-06-30 04:00:00","Salon temp"
16,0,"2013-06-30 04:00:00","Self Power Production"
13,0,"2013-06-30 04:00:00","Light Power Consumption"
